SimID,Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Segregating-Sites,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Multinomial-Likelihood
1,35,966,1841,0.1226013,0.1256831,3,9,318,1832,512,12,0,0.08885299,0,0,26,445,0.01530993,-nan,0.01667047,-nan,0.01483429,-nan,0.01442286,-nan,0.001079762,-nan,0.001266155,-nan,0.001053314,-nan,0.0009483045,-nan,0.1779316,-3.243054,0.003919527,-8503.971
2,35,996,1841,0.1156716,0.1185792,3,12,316,1832,512,9,0,0.07915994,0,0,26,472,0.01426287,-nan,0.01309904,-nan,0.01546286,-nan,0.01422857,-nan,0.0009828421,-nan,0.0009464233,-nan,0.0009997117,-nan,0.001037765,-nan,0.1779316,-3.24894,0.003603696,-8319.473
3,35,1003,1841,0.1044776,0.1130856,3,15,306,1832,512,10,0,0.0904685,0,0,26,459,0.01386308,-nan,0.01323597,-nan,0.01457143,-nan,0.01378286,-nan,0.0008157042,-nan,0.0007750317,-nan,0.0008714939,-nan,0.000816459,-nan,0.1779316,-3.247783,0.003665767,-8237.054
4,35,970,1841,0.1226013,0.1405493,3,9,329,1832,512,9,0,0.09693053,0,0,26,480,0.01563737,-nan,0.01549521,-nan,0.01700571,-nan,0.01441143,-nan,0.001037809,-nan,0.0009951283,-nan,0.001218794,-nan,0.0009315268,-nan,0.1779316,-3.244875,0.003821792,-8509.312
5,35,974,1841,0.1311301,0.1405493,3,10,320,1832,512,14,0,0.1066236,0,0,26,459,0.01718702,-nan,0.01794843,-nan,0.01620571,-nan,0.01740571,-nan,0.001284895,-nan,0.001440722,-nan,0.001072653,-nan,0.001380612,-nan,0.1779316,-3.239558,0.004107107,-8434.16
6,35,988,1841,0.1071429,0.1099562,3,9,325,1832,512,11,0,0.08562197,0,0,26,460,0.0139735,-nan,0.01323597,-nan,0.01446857,-nan,0.01421714,-nan,0.0008858617,-nan,0.0007903794,-nan,0.0009136022,-nan,0.0009727663,-nan,0.1779316,-3.243791,0.003879972,-8392.072
7,35,945,1841,0.1092751,0.1340872,3,10,322,1832,512,9,0,0.1019417,0,0,26,479,0.01514621,-nan,0.01975126,-nan,0.01344,-nan,0.01224,-nan,0.0009477644,-nan,0.001479958,-nan,0.0008118994,-nan,0.0006763161,-nan,0.1779316,-3.242171,0.00396686,-8574.388
8,35,978,1841,0.1263326,0.1486268,3,11,318,1832,512,9,0,0.1131148,0,0,26,453,0.01762108,-nan,0.01866728,-nan,0.01411429,-nan,0.02008,-nan,0.001240114,-nan,0.001522655,-nan,0.0008646268,-nan,0.001438437,-nan,0.1779316,-3.243493,0.003895969,-8386.786
9,35,962,1841,0.1210021,0.1400966,3,8,341,1832,512,8,0,0.09369952,0,0,26,470,0.0155993,-nan,0.01597444,-nan,0.01638857,-nan,0.01443429,-nan,0.00100547,-nan,0.0010855,-nan,0.001060646,-nan,0.0009019108,-nan,0.1779316,-3.238761,0.004149839,-8477.233
10,35,982,1841,0.1162047,0.1213592,3,9,328,1832,512,11,0,0.09531502,0,0,26,448,0.0153442,-nan,0.01525559,-nan,0.01693714,-nan,0.01384,-nan,0.001022033,-nan,0.000959646,-nan,0.001288361,-nan,0.0008647247,-nan,0.1779316,-3.242215,0.003964504,-8377.07
11,35,983,1841,0.1124733,0.1166937,3,13,327,1832,512,19,0,0.09208401,0,0,26,465,0.0145332,-nan,0.01368097,-nan,0.01568,-nan,0.01424,-nan,0.0009241199,-nan,0.0008833073,-nan,0.00104062,-nan,0.0008715898,-nan,0.1779316,-3.243691,0.003885341,-8365.133
12,35,984,1841,0.1162047,0.1243942,3,15,307,1832,512,10,0,0.09854604,0,0,26,467,0.01546984,-nan,0.01612277,-nan,0.01668571,-nan,0.0136,-nan,0.001048262,-nan,0.00122491,-nan,0.0011281,-nan,0.0008325894,-nan,0.1779316,-3.244398,0.003847376,-8365.454
13,35,1003,1841,0.1162047,0.1308562,3,12,317,1832,512,10,0,0.1033926,0,0,26,486,0.01560691,-nan,0.01629393,-nan,0.01481143,-nan,0.01571429,-nan,0.001033522,-nan,0.001226904,-nan,0.0008631941,-nan,0.001050052,-nan,0.1779316,-3.244999,0.003815163,-8206.442
14,35,945,1841,0.1178038,0.1359223,3,12,322,1832,512,10,0,0.09854604,0,0,26,456,0.01567926,-nan,0.01358969,-nan,0.01665143,-nan,0.0168,-nan,0.001053776,-nan,0.0008324281,-nan,0.001216641,-nan,0.001155113,-nan,0.1779316,-3.241337,0.004011619,-8596.886
15,35,974,1841,0.1044776,0.1114701,3,11,319,1832,512,10,0,0.08885299,0,0,26,475,0.014023,-nan,0.01468508,-nan,0.01434286,-nan,0.01304,-nan,0.0008543163,-nan,0.0008534448,-nan,0.0009112278,-nan,0.0008274113,-nan,0.1779316,-3.244965,0.003816971,-8333.064
16,35,985,1841,0.1146055,0.1175506,3,13,332,1832,512,12,0,0.08077544,0,0,26,463,0.01420195,-nan,0.01481059,-nan,0.01459429,-nan,0.0132,-nan,0.0009691755,-nan,0.001011326,-nan,0.00107949,-nan,0.0008449151,-nan,0.1779316,-3.244339,0.003850553,-8354.365
17,35,973,1841,0.1034115,0.1324717,3,12,338,1832,512,10,0,0.09398907,0,0,26,466,0.01437329,-nan,0.01462802,-nan,0.014,-nan,0.01449143,-nan,0.0008259125,-nan,0.0009290955,-nan,0.0007702515,-nan,0.0008086937,-nan,0.1779316,-3.246723,0.003722633,-8330.131
