taxon	min	max
Agroecomyrmex_duisburgi	33.9	38.0
Eulithomyrmex_rugosus	33.9	37.2
Eulithomyrmex_striatus	33.9	37.2
Casaleia_eocenica	40.4	48.6
Casaleia_inversa	5.332999999999999	15.97
Casaleia_longiventris	11.607999999999999	12.7
Casaleia_orientalis	33.9	38.0
Myopopone_sinensis	11.607999999999999	15.97
Stigmatomma_electrina	33.9	38.0
Stigmatomma_groehni	33.9	38.0
Aneuretellus_deformis	41.3	47.8
Britaneuretus_anglicus	33.9	38.0
Burmomyrma_rossi	93.5	99.6
Cananeuretus_occidentalis	70.6	83.5
Mianeuretus_eocenicus	46.2	50.3
Mianeuretus_mirabilis	33.9	37.2
Paraneuretus_dubovikoffi	33.9	38.0
Paraneuretus_longicornis	33.9	38.0
Paraneuretus_tornquisti	33.9	38.0
Pityomyrmex_tornquisti	33.9	38.0
Protaneuretus_succineus	33.9	38.0
Brownimecia_clavata	89.8	93.9
Alloiomma_changweiensis	11.607999999999999	15.97
Alloiomma_differentialis	11.607999999999999	15.97
Asymphylomyrmex_balticus	33.9	38.0
Azteca_alpha	13.82	20.44
Azteca_eumeces	13.82	20.44
Chronomyrmex_medicinehatensis	70.6	83.5
Ctenobethylus_goepperti	28.4	33.9
Dolichoderus_(Hypoclinea)_passalomma	33.9	38.0
Dolichoderus_affectus	28.4	33.9
Dolichoderus_antiquus	33.9	37.2
Dolichoderus_balticus	23.03	28.1
Dolichoderus_brevicornis	33.9	38.0
Dolichoderus_brevipalpis	33.9	38.0
Dolichoderus_brevipennis	33.9	38.0
Dolichoderus_bruneti	28.4	33.9
Dolichoderus_caribbaeus	13.82	20.44
Dolichoderus_coquandi	28.4	33.9
Dolichoderus_cornutus	33.9	38.0
Dolichoderus_dibolius	13.82	20.44
Dolichoderus_dlusskyi	41.3	47.8
Dolichoderus_elegans	33.9	38.0
Dolichoderus_evolans	11.607999999999999	15.97
Dolichoderus_explicans	28.4	33.9
Dolichoderus_granulinotus	33.9	38.0
Dolichoderus_heeri	11.607999999999999	12.7
Dolichoderus_jiaoyanshanensis	11.607999999999999	15.97
Dolichoderus_kohlsi	46.2	50.3
Dolichoderus_kutscheri	33.9	38.0
Dolichoderus_kutschlinicus	33.9	37.2
Dolichoderus_lacinius	11.607999999999999	15.97
Dolichoderus_longipennis	33.9	38.0
Dolichoderus_longipilosus	33.9	38.0
Dolichoderus_lucidus	33.9	38.0
Dolichoderus_luridivenosus	11.607999999999999	15.97
Dolichoderus_mesosternalis	33.9	38.0
Dolichoderus_nanus	33.9	38.0
Dolichoderus_obliteratus	23.03	33.9
Dolichoderus_oviformis	33.9	37.2
Dolichoderus_passalomma	33.9	38.0
Dolichoderus_perkovskyi	33.9	38.0
Dolichoderus_pilipes	33.9	38.0
Dolichoderus_pinguis	33.9	38.0
Dolichoderus_polessus	33.9	38.0
Dolichoderus_polonicus	33.9	38.0
Dolichoderus_primitivus	13.82	20.44
Dolichoderus_prolaminatus	13.82	20.44
Dolichoderus_punctatus	33.9	38.0
Dolichoderus_robustus	33.9	38.0
Dolichoderus_rohweri	33.9	37.2
Dolichoderus_sculpturatus	33.9	38.0
Dolichoderus_tauricus	13.82	15.97
Dolichoderus_tertiarius	33.9	38.0
Dolichoderus_transversipetiolaris	11.607999999999999	15.97
Dolichoderus_vectensis	33.9	38.0
Dolichoderus_vexillarius	33.9	38.0
Dolichoderus_vlaskini	33.9	38.0
Dolichoderus_zherichini	33.9	38.0
Elaeomyrmex_coloradensis	33.9	37.2
Elaeomyrmex_gracilis	33.9	37.2
Elaphrodites_mutatus	11.607999999999999	15.97
Elaphrodites_scutulatus	11.607999999999999	15.97
Eldermyrmex_oblongiceps	33.9	38.0
Electromyrmex_klebsi	33.9	38.0
Emplastus_antiquus	11.607999999999999	12.7
Emplastus_biamoensis	33.9	38.0
Emplastus_britannicus	33.9	38.0
Emplastus_dubius	11.607999999999999	12.7
Emplastus_elongatus	33.9	38.0
Emplastus_gurnetensis	33.9	38.0
Emplastus_haueri	11.607999999999999	12.7
Emplastus_hypolithus	33.9	38.0
Emplastus_kozlovi	33.9	38.0
Emplastus_macrops	33.9	38.0
Emplastus_miocenicus	11.607999999999999	12.7
Emplastus_ocellus	11.607999999999999	12.7
Eotapinoma_compacta	41.3	47.8
Eotapinoma_gracilis	41.3	47.8
