"","Posterior","Likelihood","alpha_morpho","speciation_rate","extinction_rate","diversification","turnover","origin_time"
"1",998.458265060144,18.3974468687645,2.68840736789204,21.4560666621245,45.9774158127273,14.3906091290112,287.087508823459,947.427466484287
"1_nonanc",463.675941329478,9.52051320910938,29.1226414280624,10.5262772391257,14.4955875336573,101.240007160785,1550.99657617045,22065
"2",1608.72035078983,6.59148735040955,2.59181997243536,5.77292360746542,7.52247116297874,14.4285425463258,181.415363240329,788.645911621069
"2_nonanc",688.00124130882,13.4019053922299,134.92262664647,761.392750409177,727.581454398892,5637.73681535958,2209.40877973478,20146.9611067441
"3",1224.10193643967,22.6754577935124,2.00303244202883,12.8851179130786,19.0258919732668,17.9344696896888,1421.51736157386,755.261273561984
"3_nonanc",563.195665962708,6.5325598663409,12.0707325901577,14.3896621161221,14.8526843707155,1887.29637509898,104.203096541361,21565.3755129914
"4",1210.73842667511,10.8057822712199,2.8938882501948,17.8229409209977,30.8274872919041,13.3959875549353,558.460387138418,1022.61578010261
"4_nonanc",1887.14219166304,19.5164818025702,123.548260073033,820.790772672798,1206.94510895608,3211.39931173555,3679.23193289099,22040
"5",1184.15565885926,23.6226129370666,2.29969140473139,19.1784563890092,35.2585239935141,14.6506475113464,438.46205675232,795.294141738783
"5_nonanc",1067.15643338486,10.2233276707402,44.4018910802138,25.3972733256292,51.7360957745717,142.122530976836,1473.64483691524,21538.8111131847
