"","Posterior","Likelihood","alpha_morpho","diversification","extinction_rate","origin_time","speciation_rate","turnover"
"4a",53.5281713844768,5.09678086892888,17.5593184073741,352.239953085056,84.0612033467358,1618.17352882063,85.3036250804236,144.677875386398
"4b",190.783457960657,48.8375640194173,9.59979097381649,134.719076792786,90.533636334573,1800,85.8489244982624,126.69334058025
"4c",157.293014155445,7.94037321759768,4.83610956935785,339.33218257411,22.7203955193252,228.153235922686,22.3743884141166,53.8206795801306
"4d",150.956726412236,16.5484727949534,12.8646026470732,232.799225449826,27.1355946852124,217.353326581965,26.7141840374531,60.4346520950017
"4e",134.999588791328,32.5649373243018,49.3649994658005,142.386264452976,22.6865727993808,42.4793193564571,21.9475751587277,48.9089360263587
"4f",143.487329822249,22.3982743773422,11.189999583787,98.3254894905867,41.2740403578055,168.659807937896,41.7821982389897,51.9997689594426
"4g",222.175849295576,17.539951316992,14.8133042879606,896.894792158174,306.061291406911,193.254099745077,278.292816862121,873.248908106278
"4h",181.342443814599,15.4211641376634,393.197760202056,634.562601618547,369.127727807902,121.100321670845,373.925287650739,747.065266986555
"4i",134.03764385192,3.99432020757924,2.35143124890665,9.40360010426677,664.589625845574,36.1264032289241,27.9298186838347,347.236778966751
"4j",169.311085032263,6.28965622247406,12.8073631983103,175.654445701544,626.052317922835,94.0779455774792,305.11246361533,661.953504853462
"4k",161.837311032575,3.86090794287266,6.22171136559143,314.106071027981,64.6429471495377,140.364866731492,59.5098358569117,226.762165782951
"4l",137.659671036534,10.6411031192164,30.0751505416638,327.237035467119,71.4717960851116,218.001396740767,71.6171539760613,136.058323792795
"4m",152.376676678525,12.4789251328199,230.96503628385,231.920293096299,70.8025939922652,457.45161674945,70.8622348565044,117.337518270908
"4n",143.414988406054,39.7529321409644,149.980970360977,235.902297147262,90.5418115706143,198.743926936115,89.8665602144697,121.252901620518
