tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
888.7702,0,34.29206,2.500095,20.06867,0.1357442,50.6114,4.771274,88.11469,0.01719842,73.76381,5.41937,112.8094,0.04025166,0.6995901,0.1888769,0.02034817,2.675372,417,119,50.6114,0,2
1113.913,0.02201392,44.33328,3.578031,30.59782,0.02201392,52.93637,6.968052,96.44166,0.1877607,47.81231,6.60543,97.77442,0.02891661,0.5492342,0.1273295,0.009566291,0.1272369,625,117,52.93637,0,0
1255.027,0,86.5171,3.305359,52.75203,0.09195355,94.49496,6.394283,219.3713,0.09021814,54.67794,8.639243,131.83,0.02887905,0.2869903,0.1160673,0.004420069,3.255283,607,122,94.49496,0,5
1118.597,0,86.5171,3.256308,61.14468,0.1153419,94.49496,5.212702,206.8543,0.1162794,56.46865,4.85728,134.4697,0.03221463,0.4915617,0.1379768,0.01105075,3.359172,435,120,61.58136,0,3
1040.965,0,86.5171,2.655184,66.55882,0.005437862,94.49496,4.932158,220.6168,0.1774053,73.85277,4.908053,133.4942,0.02478785,0.7127334,0.1436351,0.01525878,4.397043,481,120,69.92187,0,3
1234.363,0,86.5171,2.978889,73.35671,0.08726101,138.7738,5.75563,410.9078,0.015818,104.7151,6.85232,286.4647,0.02465622,0.5764756,0.1256705,0.01251175,6.492901,376,121,138.7738,0,4
1203.847,0,90.83191,2.729211,89.00917,0.01207619,114.4832,5.226393,405.0068,0.1260416,135.2122,7.002404,346.0244,0.009873744,0.4163982,0.1261528,0.009546625,6.356658,415,121,114.4832,0,4
961.1873,0,86.5171,3.056323,50.8415,0.0127704,114.4832,5.457805,316.9849,0.05401813,45.41055,5.416146,87.86598,0.04852899,0.4240363,0.1367977,0.007210198,1.58174,424,119,47.13489,0,2
1022.406,0,86.5171,2.661318,61.91144,0.2178082,94.49496,4.47201,223.699,0.208608,87.60457,5.958694,154.4287,0.03442732,0.4552033,0.1414542,0.009468143,4.795658,532,121,74.17109,0,4
1120.592,0.02944956,86.5171,3.453939,63.71591,0.02944956,94.49496,6.470608,228.8895,0.01497931,39.7422,7.575575,74.67276,0.02773473,0.6418676,0.1289938,0.01405258,2.368376,424,117,56.9988,0,0
