taxon	min	max
t132_1	26.9796604345737	37.1019397654263
t133_1	42.4041411345737	52.5264204654263
t114_1	0	0
t49_1	0	0
t18_1	0	0
t21_1	0	0
t113_1	0	0
t91_1	0	0
t27_1	0	0
t85_1	0	0
t61_1	0	0
t15_1	0	0
t37_1	0	0
t50_1	0	0
t4_1	0	0
t103_1	0	0
t22_1	0	0
t99_1	0	0
t17_1	0	0
t29_1	0	0
t104_1	0	0
t68_1	0	0
t74_1	0	0
t54_1	0	0
t83_1	0	0
t32_1	0	0
t6_1	0	0
t108_1	0	0
t53_1	0	0
t47_1	0	0
t1_1	0	0
t127_1	0	0
t9_1	0	0
t33_1	0	0
t80_1	0	0
t64_1	0	0
t124_1	0	0
t102_1	0	0
t76_1	0	0
t106_1	0	0
t112_1	0	0
t126_1	0	0
t13_1	0	0
t45_1	0	0
t39_1	0	0
t125_1	0	0
t88_1	0	0
t26_1	0	0
t12_1	0	0
t87_1	0	0
t128_1	0	0
t89_1	0	0
t19_1	0	0
t11_1	0	0
t118_1	0	0
t92_1	0	0
t2_1	0	0
t90_1	0	0
t65_1	0	0
t75_1	0	0
t105_1	0	0
t81_1	0	0
t41_1	0	0
t48_1	0	0
t72_1	0	0
t46_1	0	0
t23_1	0	0
t14_1	0	0
t30_1	0	0
t34_1	0	0
t95_1	0	0
t62_1	0	0
t55_1	0	0
t24_1	0	0
t123_1	0	0
t43_1	0	0
t35_1	0	0
t107_1	0	0
t40_1	0	0
t84_1	0	0
t56_1	0	0
t98_1	0	0
t70_1	0	0
t97_1	0	0
t44_1	0	0
t110_1	0	0
t129_1	0	0
t20_1	0	0
t36_1	0	0
t117_1	0	0
t116_1	0	0
t122_1	0	0
t69_1	0	0
t78_1	0	0
t77_1	0	0
t38_1	0	0
t93_1	0	0
t109_1	0	0
t31_1	0	0
t8_1	0	0
t16_1	0	0
t3_1	0	0
t42_1	0	0
t63_1	0	0
t79_1	0	0
t10_1	0	0
t115_1	0	0
t57_1	0	0
t121_1	0	0
t58_1	0	0
t66_1	0	0
t119_1	0	0
t52_1	0	0
t100_1	0	0
t73_1	0	0
t51_1	0	0
t111_1	0	0
t96_1	0	0
t60_1	0	0
