tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
811.7658,0,25.01734,1.653881,24.26929,0.09182847,74.94259,2.799401,149.9874,0.2178752,92.52312,4.109033,146.2645,0.03778014,1.001261,0.2158323,0.03277041,7.357077,361,120,74.94259,0,3
832.8454,0.005279362,38.957,1.622741,23.93377,0.04285676,57.27443,2.756078,94.46877,0.08011451,71.91146,3.984629,94.748,0.04258239,2.41203,0.1706682,0.12205,5.685883,531,120,57.27443,0,3
846.4743,0,27.40933,1.658571,23.28458,0.01800824,54.60735,2.831802,93.62123,0.04116906,60.08292,4.779341,90.32514,0.0351118,0.6851101,0.1761466,0.01939042,4.934122,526,120,54.60735,0,3
712.4126,0.0007395749,37.74078,1.436319,24.25013,0.0007395749,54.60735,2.580449,110.1982,0.03959125,78.25558,3.729793,76.2131,0.04359608,1.081654,0.1830219,0.04208728,5.421517,323,117,48.71671,0,0
900.0326,0,50.25487,1.571299,36.78783,0.005944717,56.13008,2.61789,145.3554,0.01096216,43.28248,4.020501,89.31764,0.02823469,1.603441,0.1695134,0.08613302,6.046862,532,119,56.13008,0,2
517.8212,0,20.02764,1.288264,8.359377,0.1186767,56.13008,2.315584,68.39106,0.08700308,28.07247,3.078438,25.54125,0.0615355,1.193111,0.3068459,0.04874633,3.448696,405,118,19.59159,0,1
535.9964,0,27.88349,1.328447,11.48268,0.005270676,56.13008,2.480573,76.8109,0.1388083,36.60961,2.443183,26.99135,0.03390178,2.190698,0.2905618,0.1050833,4.005216,629,118,31.68142,0,1
843.5342,0,28.37455,1.981931,18.0026,0.07365106,39.64252,4.095425,65.50486,0.02081735,34.78176,4.427882,56.8109,0.03884147,1.470403,0.1799493,0.05475254,3.009284,318,120,39.64252,0,3
585.2383,0.00734465,31.78807,1.61327,13.80297,0.00734465,52.47,3.071119,60.31876,0.0645803,49.22921,3.052773,44.95431,0.05991466,1.335114,0.2487377,0.04215397,4.058063,340,117,52.47,0,0
930.8524,0,65.84986,1.299828,70.00886,0.04016023,108.9533,2.308663,223.6646,0.1020794,148.5581,4.120885,243.7596,0.02263029,1.447654,0.1898101,0.05925325,8.657647,373,122,108.9533,0,5
911.9273,0,55.67159,2.634687,39.73089,0.06113617,108.9533,4.715708,221.3869,0.1411975,62.32272,5.077334,91.08431,0.03604011,0.5774994,0.149959,0.01335728,3.634101,449,120,56.88971,0,3
689.8198,0.02087497,55.67159,1.578636,35.28795,0.04793779,108.9533,2.586035,183.4381,0.05690866,29.45524,3.953072,40.17843,0.02485303,0.9553042,0.2023415,0.0265822,4.025515,607,120,40.25593,0,3
661.4006,0,55.67159,1.544307,27.12263,0.1017968,108.9533,2.867993,179.1482,0.1216332,34.96709,4.256013,36.13201,0.05538266,0.7252194,0.2108872,0.01950546,4.453951,353,120,46.80788,0,3
959.5522,0.01034029,55.67159,1.906297,50.24549,0.01807137,108.9533,3.263557,326.3019,0.001874796,74.81714,4.60981,172.3529,0.02906083,0.8242375,0.1871675,0.02417556,7.6225,509,119,80.92807,0,2
744.9055,0.003349298,55.67159,1.873805,34.99357,0.08001041,108.9533,3.444065,249.6648,0.06296346,44.63223,3.686443,56.12343,0.05387967,1.240081,0.1728112,0.03979524,3.448481,230,117,36.8166,0,0
785.7686,0,50.41853,1.274587,47.0919,0.09251177,108.9533,2.221628,249.9963,0.02341279,104.6925,3.061933,178.6096,0.02079037,1.333086,0.2404455,0.0542455,9.172071,453,121,64.76574,0,4
684.494,0,28.7446,1.340088,18.04801,0.001791264,57.19999,2.546411,105.1646,0.1078524,80.03093,3.310134,101.4669,0.02546341,1.273963,0.2370881,0.08226202,7.052028,537,125,57.19999,0,8
757.8133,0.01578039,36.9725,1.560453,23.55955,0.03050463,57.19999,2.605029,129.8669,0.0514001,39.38624,4.254742,58.99924,0.02438724,2.013066,0.2097402,0.09379685,5.721376,322,119,48.71183,0,2
877.3003,0,52.92588,1.924044,36.14947,0.03432234,63.31441,3.478338,203.7323,0.2742344,64.05657,4.285122,127.3316,0.02445052,1.169923,0.194661,0.052927,6.60178,614,121,63.31441,0,4
712.1361,0,29.46126,1.314464,21.90875,0.00111939,57.19999,3.055613,122.7939,0.1354461,46.57837,3.361537,60.60087,0.04142151,1.779125,0.2216731,0.06937617,5.767536,353,121,56.44623,0,4
738.5505,0.002091382,29.57989,1.772635,24.76293,0.02305618,57.19999,2.692925,138.2546,0.02718797,40.77068,3.886843,55.60175,0.032058,0.8660175,0.2016753,0.03209239,4.551499,389,119,45.6795,0,2
641.6163,0,52.62067,1.35978,25.32213,0.0002504251,80.53326,3.02041,162.8545,0.004921437,98.78754,3.671014,139.3143,0.02139525,0.8586906,0.2409344,0.03679763,7.352237,459,122,80.53326,0,5
812.3226,0.00756347,35.65102,1.55461,33.51895,0.00756347,80.53326,3.008275,249.6546,0.09596015,60.98023,3.427628,109.4275,0.02446959,2.315131,0.2290634,0.107947,6.944271,549,119,55.41646,0,2
776.6066,0,25.29165,1.792445,23.39431,0.02923826,80.53326,3.113783,201.3388,0.006896027,41.25666,3.962082,66.90596,0.03453822,1.278584,0.1782932,0.06065001,4.848131,304,119,43.50303,0,2
575.495,0.01285047,25.29165,1.596502,17.93563,0.01285047,80.53326,2.739776,179.3221,0.01827017,36.25679,3.216538,38.17857,0.05872072,1.451193,0.2364471,0.09998819,3.991142,386,119,43.56729,0,2
794.973,0.01091212,25.29165,1.722691,26.67444,0.0286768,80.53326,2.979891,217.2073,0.01744732,46.25313,4.785837,56.34821,0.04135672,1.428693,0.2013944,0.04366316,5.50528,378,118,47.60217,0,1
728.3742,0,25.8722,1.797491,18.7897,0.0010396,80.53326,3.315657,145.5506,0.01153985,52.07623,3.411349,66.63469,0.04114541,1.014315,0.2216519,0.04192751,3.570241,379,121,37.32446,0,4
716.2332,0,25.29165,1.697365,17.41035,0.02735916,80.53326,3.623517,144.1839,0.1456942,28.0378,3.881931,38.66103,0.03930141,0.944949,0.2173037,0.04821606,3.158714,378,121,44.76912,0,4
781.5765,0,39.68724,1.589332,29.62007,0.003220523,80.53326,3.091277,196.7908,0.01302182,44.2346,3.759495,68.03242,0.0299568,0.9439321,0.1795362,0.03593501,5.966366,417,118,52.74225,0,1
778.4365,0,30.81459,1.576558,29.92409,0.06339259,80.53326,3.115445,209.4439,0.1354039,64.84381,4.140081,91.88291,0.02845815,0.6520982,0.2210536,0.02344367,6.832945,402,119,50.9975,0,2
695.0616,0,26.38305,1.602713,21.65582,0.005277233,80.53326,3.093368,168.0302,0.2254876,45.55537,4.318518,67.63437,0.03455108,1.230512,0.2252742,0.05087615,5.891039,491,121,54.29486,0,4
758.0291,0,25.29165,1.931271,19.60236,0.001568909,80.53326,3.108328,156.6956,0.04309364,38.89595,3.970732,55.53363,0.05293703,1.536081,0.1797075,0.08354525,4.537362,423,121,41.15912,0,4
680.2612,0,25.29165,1.608758,19.733,0.007333197,80.53326,3.009713,160.0399,0.02540149,51.51898,3.445256,58.55538,0.03730865,0.8473072,0.2474616,0.03485869,4.878796,490,120,42.44077,0,3
670.6243,0,25.29165,1.652337,19.00826,0.003622623,80.53326,3.153798,174.9713,0.01142816,41.04819,3.651997,58.01983,0.04314588,1.218884,0.2193387,0.04388173,5.369262,465,118,37.94042,0,1
799.9732,0.009076986,39.33878,1.863663,32.79786,0.009076986,80.53326,2.960152,211.0104,0.0141036,42.19466,3.572004,71.08921,0.02107403,0.891545,0.2046885,0.03578629,6.306753,407,119,60.99502,0,2
674.2684,0,39.33878,1.374618,29.93242,0.01830753,80.53326,2.383609,198.3739,0.06893573,46.3001,3.274216,64.06291,0.04261786,0.7571766,0.2335095,0.03520928,5.996866,412,118,39.11509,0,1
581.1008,0,25.73718,1.44477,17.78365,0.0222677,80.53326,2.850797,159.2263,0.002887229,28.52913,3.095308,31.49235,0.03476536,1.425642,0.2460693,0.09099849,5.001625,383,119,34.29928,0,2
857.3917,0.008027798,31.57561,1.495607,32.05598,0.008027798,80.53326,3.161535,224.616,0.07719416,63.83873,4.304778,93.27744,0.0222032,0.6575881,0.1899169,0.02230816,6.717231,611,120,61.42005,0,3
832.2869,0,25.29165,1.768325,23.17033,0.02633518,80.53326,3.631536,169.0173,0.00404335,56.30328,5.033837,77.32682,0.04329357,0.7818283,0.1737991,0.02590593,4.431599,335,121,42.63925,0,4
664.9875,0.01229565,25.29165,1.713322,19.60491,0.01335059,80.53326,2.646961,166.6382,0.1090646,39.63019,3.278682,57.82964,0.03838748,1.41071,0.2301821,0.04996412,5.249322,328,119,45.00657,0,2
489.334,0.01494471,25.29165,1.464177,14.51207,0.0169048,80.53326,3.015003,148.0548,0.01015864,18.09653,2.908017,13.45551,0.06624519,1.388932,0.3014493,0.05146807,0.9385692,581,117,23.65225,0,0
666.8536,0.01077527,39.42918,1.427009,28.29452,0.04323117,80.53326,2.868841,184.5524,0.005754535,50.92359,2.991087,52.60905,0.02380381,3.488428,0.2423691,0.1737434,6.217608,730,118,44.59098,0,1
622.6587,0.002974281,27.07561,1.400209,20.66509,0.002974281,80.53326,2.129013,191.0409,0.1040988,39.43244,2.49987,50.35599,0.04953966,0.9672716,0.236819,0.03121406,6.388487,393,117,44.25634,0,0
641.4704,0.01026875,25.29165,1.617822,17.72112,0.01286315,80.53326,3.011552,177.0511,0.2769984,31.16326,3.646976,32.12163,0.04209684,1.343386,0.2101341,0.06704086,4.161731,449,117,34.40242,0,0
885.4315,0,42.97944,1.804404,35.38626,0.02132358,93.09404,3.103787,252.5592,0.01617596,100.1346,4.303561,190.802,0.02571026,0.8820383,0.1645013,0.02422855,7.643896,332,119,93.09404,0,2
