taxon	min	max
t939_1	33.5627463309276	48.5512644690724
t1093_1	65.6868553309276	80.6753734690724
t1708_1	13.2001782309276	28.1886963690724
t963_1	0	0
t136_1	0	0
t637_1	0	0
t925_1	0	0
t857_1	0	0
t51_1	0	0
t688_1	0	0
t995_1	0	0
t113_1	0	0
t298_1	0	0
t552_1	0	0
t820_1	0	0
t740_1	0	0
t183_1	0	0
t893_1	0	0
t959_1	0	0
t15_1	0	0
t933_1	0	0
t356_1	0	0
t87_1	0	0
t692_1	0	0
t496_1	0	0
t439_1	0	0
t500_1	0	0
t332_1	0	0
t185_1	0	0
t457_1	0	0
t67_1	0	0
t83_1	0	0
t799_1	0	0
t915_1	0	0
t651_1	0	0
t905_1	0	0
t710_1	0	0
t64_1	0	0
t575_1	0	0
t560_1	0	0
t502_1	0	0
t416_1	0	0
t138_1	0	0
t348_1	0	0
t199_1	0	0
t161_1	0	0
t223_1	0	0
t518_1	0	0
t320_1	0	0
t928_1	0	0
t377_1	0	0
t80_1	0	0
t14_1	0	0
t412_1	0	0
t63_1	0	0
t806_1	0	0
t573_1	0	0
t926_1	0	0
t746_1	0	0
t954_1	0	0
t662_1	0	0
t699_1	0	0
t454_1	0	0
t156_1	0	0
t777_1	0	0
t88_1	0	0
t1029_1	0	0
t892_1	0	0
t741_1	0	0
t983_1	0	0
t555_1	0	0
t796_1	0	0
t950_1	0	0
t299_1	0	0
t97_1	0	0
t446_1	0	0
t1075_1	0	0
t65_1	0	0
t360_1	0	0
t39_1	0	0
t773_1	0	0
t429_1	0	0
t172_1	0	0
t42_1	0	0
t95_1	0	0
t909_1	0	0
t879_1	0	0
t182_1	0	0
t392_1	0	0
t431_1	0	0
t528_1	0	0
t82_1	0	0
t644_1	0	0
t870_1	0	0
t228_1	0	0
t578_1	0	0
t561_1	0	0
t754_1	0	0
t355_1	0	0
t272_1	0	0
t809_1	0	0
t434_1	0	0
t1059_1	0	0
t339_1	0	0
t940_1	0	0
t266_1	0	0
t110_1	0	0
t1058_1	0	0
t548_1	0	0
t169_1	0	0
t399_1	0	0
t135_1	0	0
t237_1	0	0
t1006_1	0	0
t512_1	0	0
t466_1	0	0
t198_1	0	0
t481_1	0	0
t472_1	0	0
t634_1	0	0
