"","parent","par.name","child","chi.name","edge.length","depth","age","status"
"34",138,"node18",1,"t623_1",12.1333717555669,57.2744272642331,0,"extant"
"182",213,"node93",2,"t18_1",0.656912316949656,57.2744272642331,0,"extant"
"105",175,"node55",3,"t274_1",0.996024900885985,57.2744272642331,0,"extant"
"14",129,"node9",4,"t673_1",1.6352405217601,57.2744272642331,0,"extant"
"234",238,"node118",5,"t278_1",0.667912110901511,57.2744272642331,0,"extant"
"84",163,"node43",6,"t210_1",6.28035822018755,57.2744272642331,0,"extant"
"24",135,"node15",7,"t711_1",2.33571013154008,57.2744272642331,0,"extant"
"25",135,"node15",8,"t16_1",2.33571013154008,57.2744272642331,0,"extant"
"238",239,"node119",9,"t72_1",0.493624708373077,57.2744272642331,0,"extant"
"221",233,"node113",10,"t153_1",0.399210954589174,57.2744272642331,0,"extant"
"17",130,"node10",11,"t347_1",0.0938976484347814,57.2744272642331,0,"extant"
"137",190,"node70",12,"t665_1",0.786017301588653,57.2744272642331,0,"extant"
"18",130,"node10",13,"t776_1",0.0938976484347814,57.2744272642331,0,"extant"
"64",154,"node34",14,"t202_1",0.589034279205421,57.2744272642331,0,"extant"
"199",220,"node100",15,"t324_1",1.3071288787314,57.2744272642331,0,"extant"
"198",221,"node101",16,"t158_1",0.537664779986171,57.2744272642331,0,"extant"
"204",223,"node103",17,"t443_1",1.77298383796194,57.2744272642331,0,"extant"
"184",214,"node94",18,"t552_1",1.06767388305262,57.2744272642331,0,"extant"
"216",231,"node111",19,"t283_1",0.559701731775573,57.2744272642331,0,"extant"
"168",206,"node86",20,"t5_1",0.161019308090954,57.2744272642331,0,"extant"
"59",149,"node29",21,"t437_1",14.8516543788545,57.2744272642331,0,"extant"
"58",150,"node30",22,"t853_1",10.6647797091735,57.2744272642331,0,"extant"
"43",144,"node24",23,"t675_1",0.225526597630874,57.2744272642331,0,"extant"
"158",201,"node81",24,"t257_1",0.610897456833562,57.2744272642331,0,"extant"
"192",218,"node98",25,"t493_1",0.171899533081187,57.2744272642331,0,"extant"
"172",208,"node88",26,"t848_1",0.553052228575132,57.2744272642331,0,"extant"
"29",137,"node17",27,"t190_1",1.14846799382084,57.2744272642331,0,"extant"
"88",165,"node45",28,"t612_1",1.04535560369096,57.2744272642331,0,"extant"
"107",173,"node53",29,"t232_1",2.3129560454608,57.2744272642331,0,"extant"
"157",201,"node81",30,"t400_1",0.610897456833562,57.2744272642331,0,"extant"
"45",143,"node23",31,"t695_1",2.75607801920999,57.2744272642331,0,"extant"
"132",188,"node68",32,"t402_1",0.508256159888328,57.2744272642331,0,"extant"
"82",162,"node42",33,"t69_1",2.44171329749317,57.2744272642331,0,"extant"
"8",125,"node5",34,"t606_1",0.482950612733467,57.2744272642331,0,"extant"
"176",210,"node90",35,"t201_1",4.69703711356519,57.2744272642331,0,"extant"
"81",162,"node42",36,"t138_1",2.44171329749317,57.2744272642331,0,"extant"
"128",185,"node65",37,"t273_1",14.638210699053,57.2744272642331,0,"extant"
"13",129,"node9",38,"t463_1",1.6352405217601,57.2744272642331,0,"extant"
"4",124,"node4",39,"t415_1",0.94461960986659,57.2744272642331,0,"extant"
"228",236,"node116",40,"t369_1",0.0428567572478029,57.2744272642331,0,"extant"
"208",225,"node105",41,"t583_1",3.63555592445628,57.2744272642331,0,"extant"
"235",238,"node118",42,"t597_1",0.667912110901511,57.2744272642331,0,"extant"
"140",191,"node71",43,"t700_1",3.05479928354527,57.2744272642331,0,"extant"
"211",227,"node107",44,"t816_1",3.03650820296294,57.2744272642331,0,"extant"
"30",137,"node17",45,"t517_1",1.14846799382084,57.2744272642331,0,"extant"
"119",179,"node59",46,"t54_1",13.4680220171707,57.2744272642331,0,"extant"
"98",172,"node52",47,"t213_1",0.516954357647547,57.2744272642331,0,"extant"
"139",191,"node71",48,"t472_1",3.05479928354527,57.2744272642331,0,"extant"
"223",229,"node109",49,"t354_1",2.47259933343493,57.2744272642331,0,"extant"
"165",205,"node85",50,"t317_1",1.06219068544372,57.2744272642331,0,"extant"
"44",144,"node24",51,"t383_1",0.225526597630874,57.2744272642331,0,"extant"
"97",172,"node52",52,"t873_1",0.516954357647547,57.2744272642331,0,"extant"
"220",233,"node113",53,"t298_1",0.399210954589174,57.2744272642331,0,"extant"
"100",170,"node50",54,"t783_1",1.24157618876532,57.2744272642331,0,"extant"
"136",190,"node70",55,"t765_1",0.786017301588653,57.2744272642331,0,"extant"
"126",183,"node63",56,"t487_1",2.55929121428495,57.2744272642331,0,"extant"
"89",165,"node45",57,"t532_1",1.04535560369096,57.2744272642331,0,"extant"
"71",157,"node37",58,"t231_1",0.0447676235054076,57.2744272642331,0,"extant"
"117",180,"node60",59,"t752_1",1.05110364084354,57.2744272642331,0,"extant"
"173",207,"node87",60,"t208_1",2.19442643042482,57.2744272642331,0,"extant"
"201",222,"node102",61,"t157_1",4.59075272972316,57.2744272642331,0,"extant"
"151",196,"node76",62,"t385_1",1.61024239132915,57.2744272642331,0,"extant"
"57",151,"node31",63,"t275_1",4.43106705348369,57.2744272642331,0,"extant"
"124",184,"node64",64,"t293_1",1.72830749901573,57.2744272642331,0,"extant"
"181",213,"node93",65,"t566_1",0.656912316949656,57.2744272642331,0,"extant"
"114",176,"node56",66,"t96_1",4.00664424469709,57.2744272642331,0,"extant"
"26",134,"node14",67,"t763_1",10.0038669068235,57.2744272642331,0,"extant"
"197",221,"node101",68,"t546_1",0.537664779986171,57.2744272642331,0,"extant"
"178",211,"node91",69,"t12_1",2.78474065134814,57.2744272642331,0,"extant"
"237",239,"node119",70,"t702_1",0.493624708373077,57.2744272642331,0,"extant"
"7",125,"node5",71,"t820_1",0.482950612733467,57.2744272642331,0,"extant"
"15",128,"node8",72,"t228_1",2.84804691772876,57.2744272642331,0,"extant"
