taxon	min	max
t315_1	0.2751611	0.8254833
t397_1	0.44470835	1.33412505
t382_1	0.47434465	1.42303395
t66_1	0.17720945	0.53162835
t53_1	0.1111015	0.3333045
t438_1	0.60713745	1.82141235
t237_1	0.4512127	1.3536381
t424_1	0.1837072	0.5511216
t209_1	0.4970417	1.4911251
t258_1	0.22259525	0.66778575
t64_1	0.4034651	1.2103953
t29_1	0.22302865	0.66908595
t11_1	0.42705	1.28115
t253_1	0.10114065	0.30342195
t378_1	0.27706655	0.83119965
t274_1	0.5680971	1.7042913
t227_1	0.2136454	0.6409362
t134_1	0.4358897	1.3076691
t178_1	0.2858246	0.8574738
t394_1	0.60976145	1.82928435
t52_1	0.342731699200792	3.21116370079921
t259_1	0.6808083	2.0424249
t243_1	0.4922558	1.4767674
t364_1	1.87570629920079	4.74413830079921
t319_1	0.937556199200793	3.80598820079921
t18_1	0.562205099200793	3.43063710079921
t286_1	0.716158499200792	3.58459050079921
t34_1	1.11168369920079	3.98011570079921
t443_1	1.42086169920079	4.28929370079921
t179_1	0.662295099200792	3.53072710079921
t429_1	1.16225649920079	4.03068850079921
t27_1	4.36985269920079	7.23828470079921
t275_1	11.0645999992008	13.9330320007992
t460_1	12.9079439992008	15.7763760007992
t471_1	10.2242683992008	13.0927004007992
t500_1	5.31296009920079	8.18139210079921
t504_1	7.01927569920079	9.88770770079921
t510_1	4.46525539920079	7.33368740079921
t514_1	4.17379079920079	7.04222280079921
t516_1	4.51639209920079	7.38482410079921
t523_1	4.27856859920079	7.14700060079921
t535_1	4.16396519920079	7.03239720079921
t536_1	4.14400839920079	7.01244040079921
t544_1	2.79595049920079	5.66438250079921
t549_1	2.79259239920079	5.66102440079921
t567_1	2.80887039920079	5.67730240079921
t570_1	2.07714829920079	4.94558030079921
t643_1	1.26186919920079	4.13030120079921
t685_1	1.03991779920079	3.90834980079921
t715_1	0.415792899200792	3.28422490079921
t745_1	0.54996995	1.64990985
t795_1	0.161086899200793	3.02951890079921
t795_2	0.40478295	1.21434885
t845_1	0.5215964	1.5647892
t860_1	0.23448005	0.70344015
t888_1	1.20286849920079	4.07130050079921
t895_1	0.19424065	0.58272195
t3_1	0	0
t167_1	0	0
