taxon	min	max
t275_1	0.103263	0.309789
t172_1	1.91927398731862	3.55104541268138
t338_1	0.16839885	0.50519655
t33_1	0.04451925	0.13355775
t76_1	0.035428	0.106284
t242_1	0.0402065	0.1206195
t45_1	0.153712187318624	1.78548361268138
t101_1	0.1762312	0.5286936
t7_1	0.0997259	0.2991777
t92_1	0.136358387318624	1.76812981268138
t266_1	0.193228987318624	1.82500041268138
t331_1	0.666199587318624	2.29797101268138
t328_1	0.188314387318624	1.82008581268138
t52_1	1.68106688731862	3.31283831268138
t52_2	1.41151988731862	3.04329131268138
t55_1	1.97698298731862	3.60875441268138
t373_1	2.49202608731862	4.12379751268138
t269_1	3.83525668731862	5.46702811268138
t225_1	3.50760938731862	5.13938081268138
t161_1	5.97564368731862	7.60741511268138
t478_1	3.44146148731862	5.07323291268138
t479_1	3.30178368731862	4.93355511268138
t510_1	2.88853938731862	4.52031081268138
t537_1	2.26979238731862	3.90156381268138
t557_1	2.21895438731862	3.85072581268138
t557_2	1.93231568731862	3.56408711268138
t569_1	2.71305058731862	4.34482201268138
t614_1	1.99343398731862	3.62520541268138
t637_1	0.724773387318624	2.35654481268138
t668_1	0.403153887318624	2.03492531268138
t685_1	0.339868187318624	1.97163961268138
t704_1	0.402374687318624	2.03414611268138
t713_1	0.586423087318624	2.21819451268138
t718_1	0.3645777	1.0937331
t722_1	0.33053425	0.99160275
t741_1	0.151665387318624	1.78343681268138
t744_1	0.3968551	1.1905653
t747_1	0.2625776	0.7877328
t768_1	0.3272918	0.9818754
t781_1	0.176251387318624	1.80802281268138
t197_1	0	0
t6_1	0	0
t272_1	0	0
t275_2	0	0
t217_1	0	0
t136_1	0	0
t159_1	0	0
t255_1	0	0
t214_1	0	0
t22_1	0	0
t355_1	0	0
t258_1	0	0
t305_1	0	0
t179_1	0	0
t286_1	0	0
t300_1	0	0
t172_2	0	0
t387_1	0	0
t44_1	0	0
t394_1	0	0
t299_1	0	0
t399_1	0	0
t382_1	0	0
t277_1	0	0
t395_1	0	0
t391_1	0	0
t378_1	0	0
t70_1	0	0
t397_1	0	0
t396_1	0	0
t141_1	0	0
t338_2	0	0
t390_1	0	0
t335_1	0	0
t354_1	0	0
t176_1	0	0
t17_1	0	0
t33_2	0	0
t195_1	0	0
t304_1	0	0
t135_1	0	0
t260_1	0	0
t76_2	0	0
t361_1	0	0
t130_1	0	0
t87_1	0	0
t43_1	0	0
t211_1	0	0
t330_1	0	0
t345_1	0	0
t42_1	0	0
t242_2	0	0
t166_1	0	0
t12_1	0	0
t250_1	0	0
t48_1	0	0
t368_1	0	0
t415_1	0	0
t82_1	0	0
t371_1	0	0
t100_1	0	0
t210_1	0	0
t173_1	0	0
t58_1	0	0
t183_1	0	0
t99_1	0	0
t105_1	0	0
t45_2	0	0
t296_1	0	0
t219_1	0	0
t182_1	0	0
t340_1	0	0
t101_2	0	0
t160_1	0	0
t280_1	0	0
t307_1	0	0
t69_1	0	0
t193_1	0	0
t153_1	0	0
t241_1	0	0
t2_1	0	0
t126_1	0	0
t20_1	0	0
t248_1	0	0
t365_1	0	0
t276_1	0	0
t113_1	0	0
t116_1	0	0
t84_1	0	0
t112_1	0	0
t175_1	0	0
t265_1	0	0
t369_1	0	0
t68_1	0	0
t35_1	0	0
t186_1	0	0
t271_1	0	0
t67_1	0	0
t73_1	0	0
t332_1	0	0
t30_1	0	0
t167_1	0	0
t202_1	0	0
t352_1	0	0
t284_1	0	0
t121_1	0	0
t97_1	0	0
t366_1	0	0
t79_1	0	0
t237_1	0	0
t409_1	0	0
t404_1	0	0
t192_1	0	0
t18_1	0	0
t222_1	0	0
t238_1	0	0
t246_1	0	0
t77_1	0	0
t353_1	0	0
t218_1	0	0
t385_1	0	0
t317_1	0	0
t124_1	0	0
t298_1	0	0
t96_1	0	0
t14_1	0	0
t28_1	0	0
t31_1	0	0
t264_1	0	0
t10_1	0	0
t408_1	0	0
t94_1	0	0
t252_1	0	0
t181_1	0	0
t47_1	0	0
t245_1	0	0
t114_1	0	0
t234_1	0	0
t177_1	0	0
t350_1	0	0
t381_1	0	0
t46_1	0	0
t268_1	0	0
t262_1	0	0
t308_1	0	0
t240_1	0	0
t80_1	0	0
t346_1	0	0
t325_1	0	0
t150_1	0	0
t370_1	0	0
t120_1	0	0
t226_1	0	0
t147_1	0	0
t7_2	0	0
t311_1	0	0
t203_1	0	0
t143_1	0	0
t16_1	0	0
t111_1	0	0
t199_1	0	0
t74_1	0	0
t119_1	0	0
t165_1	0	0
t357_1	0	0
t380_1	0	0
t187_1	0	0
t221_1	0	0
t329_1	0	0
t137_1	0	0
t138_1	0	0
t107_1	0	0
t254_1	0	0
t92_2	0	0
t156_1	0	0
t297_1	0	0
t215_1	0	0
t314_1	0	0
t200_1	0	0
t140_1	0	0
t367_1	0	0
t229_1	0	0
t293_1	0	0
t347_1	0	0
t259_1	0	0
t309_1	0	0
t163_1	0	0
t213_1	0	0
t208_1	0	0
t364_1	0	0
t95_1	0	0
t209_1	0	0
t184_1	0	0
t34_1	0	0
t413_1	0	0
t102_1	0	0
t27_1	0	0
t23_1	0	0
t19_1	0	0
t198_1	0	0
