Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites Excluding Ambiguous 18s,1,0,0,1,4.377441
Max GC 18s,0.39801,0.60199,0.7960199,0.39801,0.2841987
Max GC Excluding Ambiguous 18s,0.3880597,0.6119403,0.7761194,0.3880597,0.3715414
Max Invariant Block Length Excluding Ambiguous 18s,1,0,0,1,13.6358
Max Pairwise Difference 18s,0.9054726,0.1243781,0.2487562,0.8905473,1.227963
Max Variable Block Length Excluding Ambiguous 18s,0.9950249,0.05970149,0.119403,0.9676617,2.912218
Min GC Excluding Ambiguous 18s,0.2885572,0.7114428,0.5771144,0.2885572,0.5744848
Number Invariable Block Excluding Ambiguous 18s,0,1,0,0,6.902567
Mean GC 18s,0.3333333,0.6666667,0.6666667,0.3333333,0.6780127
Mean GC 1 18s,0.5124378,0.4875622,0.9751244,0.5124378,0.1258014
Mean GC 2 18s,0.3930348,0.6069652,0.7860697,0.3930348,0.3376464
Mean GC 3 18s,0.2338308,0.7661692,0.4676617,0.2338308,0.6181552
Var GC 18s,0.3084577,0.6915423,0.6169154,0.3084577,0.285962
Var GC 1 18s,0.5671642,0.4328358,0.8656716,0.5671642,0.05678987
Var GC 2 18s,0.3781095,0.6218905,0.7562189,0.3781095,0.06829813
Var GC 3 18s,0.2139303,0.7860697,0.4278607,0.2139303,0.5614107
Tajima-D 18s,0.3383085,0.6616915,0.6766169,0.3383085,0.4364409
Tajima-Pi 18s,0.5671642,0.4328358,0.8656716,0.5671642,0.9607786
Multinomial-Likelihood 18s,1,0,0,1,4.731936
Number Invariant Sites Excluding Ambiguous 28s,1,0,0,1,6.724221
Max GC 28s,0.6666667,0.3333333,0.6666667,0.6666667,0.3765955
Max GC Excluding Ambiguous 28s,0.4875622,0.5124378,0.9751244,0.4875622,0.003442239
Max Invariant Block Length Excluding Ambiguous 28s,1,0,0,1,15.83541
Max Pairwise Difference 28s,0,1,0,0,3.448026
Max Variable Block Length Excluding Ambiguous 28s,0.9950249,0.004975124,0.009950249,0.9950249,4.165947
Min GC Excluding Ambiguous 28s,0.4825871,0.5174129,0.9651741,0.4825871,0.07614508
Number Invariable Block Excluding Ambiguous 28s,0,1,0,0,9.99344
Mean GC 28s,0.4875622,0.5124378,0.9751244,0.4875622,0.08957277
Mean GC 1 28s,0.5671642,0.4328358,0.8656716,0.5671642,0.1377602
Mean GC 2 28s,0.1791045,0.8208955,0.358209,0.1791045,0.8677508
Mean GC 3 28s,0.8358209,0.1641791,0.3283582,0.8358209,1.041598
Var GC 28s,0.5373134,0.4626866,0.9253731,0.5373134,0.06418945
Var GC 1 28s,0.5771144,0.4228856,0.8457711,0.5771144,0.3929848
