Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites Excluding Ambiguous 18s,1,0,0,1,4.002818
Max GC 18s,0.4278607,0.5721393,0.8557214,0.4278607,0.3087234
Max GC Excluding Ambiguous 18s,0.3781095,0.6218905,0.7562189,0.3781095,0.2253167
Max Invariant Block Length Excluding Ambiguous 18s,1,0,0,1,13.7124
Max Pairwise Difference 18s,0.9402985,0.07960199,0.159204,0.9303483,1.538343
Max Variable Block Length Excluding Ambiguous 18s,0.9900498,0.03482587,0.06965174,0.9776119,3.099682
Min GC Excluding Ambiguous 18s,0.2636816,0.7363184,0.5273632,0.2636816,0.6156839
Number Invariable Block Excluding Ambiguous 18s,0,1,0,0,6.281383
Mean GC 18s,0.3233831,0.6766169,0.6467662,0.3233831,0.2941115
Mean GC 1 18s,0.5572139,0.4427861,0.8855721,0.5572139,0.123267
Mean GC 2 18s,0.3681592,0.6318408,0.7363184,0.3681592,0.377478
Mean GC 3 18s,0.1641791,0.8358209,0.3283582,0.1641791,1.029194
Var GC 18s,0.2835821,0.7164179,0.5671642,0.2835821,0.3032389
Var GC 1 18s,0.60199,0.39801,0.7960199,0.60199,0.05684946
Var GC 2 18s,0.3084577,0.6915423,0.6169154,0.3084577,0.07667718
Var GC 3 18s,0.1791045,0.8208955,0.358209,0.1791045,0.6405526
Tajima-D 18s,0.3532338,0.6467662,0.7064677,0.3532338,0.4633817
Tajima-Pi 18s,0.5771144,0.4228856,0.8457711,0.5771144,0.9636003
Multinomial-Likelihood 18s,1,0,0,1,4.213788
Number Invariant Sites Excluding Ambiguous 28s,1,0,0,1,6.411688
Max GC 28s,0.7412935,0.2587065,0.5174129,0.7412935,0.5779626
Max GC Excluding Ambiguous 28s,0.5820896,0.4179104,0.8358209,0.5820896,0.2382267
Max Invariant Block Length Excluding Ambiguous 28s,1,0,0,1,15.82223
Max Pairwise Difference 28s,0,1,0,0,3.665889
Max Variable Block Length Excluding Ambiguous 28s,0.9950249,0.004975124,0.009950249,0.9950249,4.724766
