tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
2588.873,0,70.58216,6.337675,96.39892,0.135367,89.3875,14.8177,417.4412,0.025575,135.9068,13.39223,624.3015,0.01314744,0.2875513,0.06511445,0.002556894,-0.7388801,587,140,89.3875,5,23
2339.521,0,68.49021,5.533403,91.77435,0.385204,90.85645,13.77606,362.2015,0.184245,126.617,12.54432,586.65,0.01257976,0.2749269,0.07384696,0.002969492,-0.2540255,588,140,90.85645,8,23
2551.966,0,66.81144,5.543088,107.6687,0.221324,93.48319,15.80858,433.8585,0.036292,139.225,16.33633,605.6722,0.0132526,0.306579,0.06927263,0.002462181,-1.121525,535,140,93.48319,7,23
2542.58,0,62.43808,6.585226,82.5931,0.636979,89.84487,14.95788,385.5658,0.054027,89.17706,14.25067,412.1472,0.01397917,0.212263,0.06709579,0.001962475,-1.02432,510,140,89.84487,6,23
2458.038,0,67.74818,5.668614,97.13972,0.375594,93.97673,14.65376,387.5287,0.021252,188.6996,15.58897,679.1604,0.01397686,0.2588692,0.07305692,0.002092585,-1.058493,507,140,93.97673,7,23
2604.136,0,77.51393,6.348823,105.6913,0.199977,92.55188,14.89182,443.3635,0.2844,91.2871,19.37955,389.3417,0.0117693,0.2291115,0.06817301,0.001935922,-0.03897804,554,140,92.55188,7,23
2608.614,0,62.53249,5.459035,111.1051,0.576591,140.506,15.51441,494.5275,0.39438,135.085,15.15607,636.5693,0.01689247,0.2711322,0.06733355,0.002364055,0.5611072,530,140,140.506,8,23
2619.74,0,66.48952,5.994105,100.837,0.137045,89.10898,14.01243,422.0266,0.117888,85.85304,17.19176,419.6358,0.0153588,0.2468893,0.06771012,0.002429816,-0.7654475,533,140,89.10898,7,23
2596.145,0,85.21321,6.117063,119.8728,0.152223,90.76551,15.20792,418.5002,0.111972,113.3751,12.57016,627.0096,0.01136501,0.3395952,0.0691582,0.002938823,-1.535845,555,140,90.76551,6,23
2554.16,0,51.60406,5.82075,93.98602,0.719605,92.89616,17.45884,426.0597,0.012882,118.7993,12.95395,692.9766,0.0151883,0.3497211,0.06903418,0.002284668,-0.7992552,724,140,92.89616,7,23
2535.254,0,88.26169,5.693663,112.2417,0.572845,96.65194,14.29289,416.5424,0.156695,112.7902,16.79853,482.8231,0.01097901,0.288289,0.07046372,0.0024891,-0.6975145,641,140,96.65194,10,23
2642.635,0,89.83988,5.445099,130.5913,0.10699,145.2872,17.10449,503.8904,0.725706,180.8656,14.9786,693.1928,0.009374399,0.4283903,0.07339909,0.003834843,-0.2945633,743,140,145.2872,8,23
2653.943,0,76.01668,5.364072,114.9715,0.18848,126.4779,14.7891,532.6315,0.040419,139.8975,16.88899,580.8213,0.01159762,0.4017765,0.07249138,0.003673621,0.4306605,636,140,126.4779,8,23
2604.423,0,83.91816,5.759304,123.0661,0.543139,149.9864,15.73637,557.7762,0.257124,130.4523,17.4237,685.5394,0.009625958,0.3543094,0.06955346,0.003047477,0.1578694,618,140,149.9864,9,23
2374.578,0,63.97107,5.524708,102.356,0.242689,119.8812,13.63537,447.447,0.066758,102.7615,17.53703,380.3856,0.01327484,0.7554171,0.07873852,0.005966122,0.6616774,564,140,119.8812,10,23
2433.326,0,76.9175,5.39806,118.4025,0.028491,90.43044,14.04628,446.4163,0.460794,113.8837,16.25085,428.679,0.0120353,0.4005874,0.07533541,0.003650844,-0.1898806,760,140,90.43044,9,23
2492.749,0,64.20412,5.370901,106.7942,0.370018,140.8119,14.44004,563.695,0.499234,98.85344,15.48572,505.0656,0.01338162,0.5081921,0.06919996,0.005000186,1.269652,587,140,140.8119,9,23
2366.52,0,68.30302,5.074233,89.30536,0.506231,108.0337,14.5231,394.0493,0.302292,146.8713,13.97864,516.0821,0.01211501,0.3573162,0.0731707,0.00295803,0.3015939,560,140,108.0337,7,23
2146.285,0,62.52184,5.125699,73.29549,0.218039,112.8226,11.91504,383.6386,0.122824,100.0797,16.06205,368.5916,0.01423641,0.5494781,0.08025989,0.005746429,0.03265814,633,140,112.8226,9,23
2285.423,0,64.40245,4.834817,92.3775,0.019434,88.50489,14.13815,387.4501,0.083555,101.8183,14.26313,448.1055,0.01486819,0.331004,0.07760823,0.003668125,-1.046001,509,140,88.50489,11,23
2340.316,0,60.64394,5.80917,80.72317,0.023482,84.75497,13.69424,357.4729,0.530208,141.0921,12.54696,548.8203,0.01386863,0.3047379,0.07596213,0.002858333,-1.256069,545,140,84.75497,10,23
2345.816,0,66.59831,5.262831,94.09341,0.077663,84.48598,13.82845,366.3432,0.03186,132.3025,14.76505,554.4189,0.01359571,0.302307,0.0743494,0.00354014,-0.1075265,635,140,84.48598,9,23
2498.246,0,67.69582,5.901668,95.72461,0.18531,91.09605,15.19158,413.5927,0.047493,113.9636,19.05715,383.8389,0.0128214,0.2814521,0.0672617,0.002086491,-0.8153884,627,140,91.09605,8,23
2622.554,0,69.56335,5.683746,115.0647,0.322533,108.1028,14.43972,492.3566,0.139153,107.3324,17.43357,472.9866,0.01266062,0.3304143,0.06484201,0.00231548,-0.5869252,563,140,108.1028,8,23
2547.79,0,82.38484,6.131039,107.6369,0.075794,112.731,14.56306,458.5308,0.149823,91.97751,14.6363,505.0694,0.01119632,0.3498289,0.07016977,0.002801555,0.2385223,580,140,112.731,8,23
2558.198,0,72.16042,6.026763,112.2986,0.151072,133.2285,16.36889,453.1345,0.177555,128.4358,14.08543,599.5705,0.01226684,0.4662983,0.06587024,0.003873686,-0.4693449,396,140,133.2285,10,23
2485.037,0,74.48049,5.991708,98.22724,0.349472,91.00819,14.05182,393.8803,0.02318,96.05736,15.4127,399.3731,0.0126509,0.474462,0.07086794,0.003200569,-0.7053263,574,140,91.00819,10,23
2389.588,0,60.61993,5.75992,83.86493,0.313187,87.11183,15.03069,361.7183,0.029309,110.0018,15.10431,479.7964,0.01482909,0.307546,0.06905388,0.002501211,-1.215539,650,140,87.11183,10,23
2268.455,0,64.54942,5.233312,78.7648,0.158811,87.04085,13.25248,337.9597,0.07984,93.59198,13.87608,392.012,0.01319346,0.3810618,0.08105036,0.003459861,-0.422984,534,140,87.04085,11,23
2424.206,0,75.12117,5.614407,104.3138,0.609805,90.72018,15.43091,380.2522,0.078975,118.5715,16.14094,459.5874,0.01205972,0.2399277,0.07329175,0.002213363,-1.40453,533,140,90.72018,10,23
2300.315,0,43.89663,5.390003,74.20556,0.182862,93.69762,12.69247,371.0931,0.1071,125.5904,15.11943,458.5774,0.01623074,0.3738207,0.07995393,0.003467229,-0.5423175,651,140,93.69762,10,23
2359.066,0,71.85923,5.562347,94.02701,0.088518,85.65806,14.37304,368.6397,0.221216,96.48239,16.3476,386.5503,0.0128433,0.3946884,0.07381206,0.004234451,-1.071103,673,140,85.65806,9,23
2165.596,0,71.46619,5.173165,90.87623,0.401437,83.84959,13.96162,288.2886,0.125172,111.1194,13.46372,382.7503,0.01295634,0.5291836,0.0852221,0.003841837,-0.7931888,645,140,83.84959,14,23
2280.778,0,64.0383,5.258155,84.63303,0.575718,82.88156,14.33854,345.9495,0.012901,106.9886,14.34599,402.236,0.01425961,0.5854727,0.07446699,0.005316051,-0.6437461,606,140,82.88156,11,23
2301.428,0,72.90797,5.96467,88.51316,0.063437,84.90468,14.056,323.3261,0.093665,87.97585,16.88576,315.3501,0.01271297,0.3204389,0.07603347,0.002734898,-1.279314,513,140,84.90468,11,23
2380.711,0,69.95057,5.429347,85.96766,0.331558,91.52552,15.99613,396.6191,0.006786,100.8716,14.76278,482.6126,0.01342013,0.3986311,0.07257646,0.003895843,-0.7512694,386,140,91.52552,9,23
2310.675,0,43.58807,5.588594,78.18473,0.344255,89.81311,14.05338,377.2874,0.041951,88.74093,16.2856,422.8487,0.01570622,0.2846544,0.07472942,0.002686424,-1.065042,545,140,89.81311,11,23
2492.198,0,60.22754,6.085354,92.26446,0.112602,92.82047,15.80949,434.3082,0.10051,160.1737,15.81328,530.9854,0.0149966,0.4729244,0.07003802,0.004205655,-0.947272,630,140,92.82047,8,23
2402.586,0,68.27847,5.116054,98.32479,0.924437,110.9094,15.10764,470.8411,0.08325,129.4212,16.16597,499.0768,0.012564,0.4674008,0.0727538,0.003974663,-0.5633574,619,140,110.9094,9,23
2387.095,0,86.0189,5.519929,100.7508,0.523123,96.03245,14.00567,411.7571,0.082782,131.2399,14.22399,632.7553,0.0112414,0.2410121,0.0702773,0.002330065,-0.2228523,656,140,96.03245,12,23
2352.263,0,74.13613,5.084589,90.94783,0.387818,93.43773,14.72239,386.9729,0.312636,112.1716,14.75298,466.2747,0.01216631,0.3533409,0.07431319,0.002980554,-1.147841,503,140,93.43773,8,23
2335.157,0,69.31499,5.467132,88.07959,0.759547,108.0967,13.79834,456.5997,0.093456,111.6933,16.49218,456.1718,0.01266491,0.3067166,0.07637044,0.003231832,0.6193379,511,140,108.0967,9,23
2426.92,0,77.57227,5.268918,104.4301,0.159319,91.42841,13.94857,435.3045,0.305876,135.9306,15.67572,617.4418,0.01228617,0.2805861,0.07749779,0.002295443,0.03604692,508,140,91.42841,9,23
2372.39,0,70.07942,5.139892,91.96055,0.301442,87.81348,14.48762,375.1662,0.14992,109.1199,16.09886,455.9031,0.01277832,0.8345299,0.07313655,0.007617161,-1.186565,524,140,87.81348,9,23
2269.98,0,45.94862,5.351614,72.14852,0.190095,90.33115,14.6373,350.6064,0.213465,121.9551,15.72012,384.4766,0.01611191,0.417908,0.07733839,0.003898487,-1.06735,601,140,90.33115,11,23
2243.049,0,74.00989,4.919272,100.8852,0.655059,89.81551,11.48161,369.5767,0.058617,91.70826,16.22187,398.3769,0.01342906,0.3827348,0.08424188,0.003623495,-0.2942369,698,140,89.81551,8,23
2258.094,0,63.56396,5.429789,76.87523,0.867604,98.16248,14.44465,352.4723,0.07248,122.2553,11.88695,589.3871,0.01399219,0.3276567,0.07528617,0.003120194,-0.8815542,522,140,98.16248,9,23
2241.46,0,47.78561,5.089515,75.08,0.387142,83.18537,14.57104,332.2396,0.001508,127.7813,14.90332,506.4722,0.0171867,0.426198,0.08019485,0.003891437,0.1342265,519,140,83.18537,10,23
2138.39,0,38.75821,5.139657,61.20992,0.276989,80.92738,13.81934,324.4848,0.151998,75.42809,14.59458,314.9746,0.01799416,0.5190722,0.08224795,0.004975349,-0.9747909,520,140,80.92738,10,23
2320.489,0,70.3691,5.170279,84.38983,0.450048,97.59571,14.31976,411.0181,0.199626,146.8809,16.6583,485.1008,0.01244556,0.3160871,0.07423393,0.002929444,-0.6756923,539,140,97.59571,9,23
2288.995,0,76.46099,5.337862,96.13026,0.46107,88.00132,13.92342,397.696,0.291984,104.0432,17.20513,375.2231,0.01222515,0.3244388,0.08072366,0.003215985,-0.7002721,605,140,88.00132,10,23
