tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
2955.264,0,83.89802,6.968951,131.1416,0.227112,94.96252,22.46453,462.3245,0.345444,118.2058,22.45361,602.6802,0.01123356,0.3969152,0.05662803,0.002875216,-3.590372,579,140,94.96252,7,23
3115.029,0,81.12113,7.032201,147.5628,0.754586,105.1811,21.16217,616.2959,0.111155,133.8895,20.90803,776.1721,0.01093665,0.2191869,0.05708017,0.001498348,-1.745744,591,140,105.1811,8,23
3099.937,0,89.72813,7.834079,147.2624,0.161526,111.2033,20.17776,550.9463,0.079838,124.3737,20.7873,705.0393,0.01000887,0.2093122,0.05693681,0.001391246,-1.725045,719,140,111.2033,7,23
3300.768,0,98.00624,7.392979,181.3925,0.191806,107.2481,22.31192,568.3335,0.115486,165.1755,17.25646,1018.196,0.009744009,0.2458115,0.05197775,0.001546292,-2.517929,757,140,107.2481,8,23
3157.491,0,91.3897,7.054726,168.854,0.108407,115.9114,19.62353,655.2814,0.38893,155.1962,18.92992,926.9345,0.01022653,0.246705,0.05504536,0.001542916,-0.23814,597,140,115.9114,9,23
3183.123,0,88.30954,7.931426,161.4414,0.462414,115.0548,20.71986,505.5343,0.443672,206.9965,20.13928,827.581,0.01016344,0.5176182,0.05602239,0.003385557,-1.940827,818,140,115.0548,11,23
3159.063,0,97.38759,7.172632,175.0723,0.155159,108.3937,18.7226,572.4157,0.092547,199.044,20.32883,830.3402,0.009719054,0.2595311,0.05690865,0.001900393,-1.648797,685,140,108.3937,9,23
3099.79,0,82.35596,7.461198,157.6197,0.0044,95.90818,22.21158,484.7827,0.08998,184.602,17.55104,862.7217,0.0113177,0.3150488,0.05854024,0.002793488,-2.355819,719,140,95.90818,11,23
2980.446,0,72.98455,7.29558,124.5565,0.340411,100.1193,19.40194,488.1536,0.636112,114.3348,19.94728,576.6651,0.01481627,0.3081528,0.05984022,0.002539532,-1.73114,709,140,100.1193,11,23
3185.262,0,94.53019,7.79631,155.2949,0.959312,105.4206,20.66826,601.0017,0.041275,135.5177,21.0071,816.4669,0.01008084,0.3303577,0.05597899,0.001838415,-0.8436316,714,140,105.4206,9,23
3198.319,0,76.85813,7.420363,163.2774,0.211966,98.90945,20.69691,502.0689,0.09909,176.5717,16.40078,1035.705,0.01143032,0.2691848,0.05396256,0.001854006,-2.708523,713,140,98.90945,11,23
3137.753,0,97.68228,7.588115,159.8364,0.023914,109.6591,19.34284,531.6111,0.276216,149.6222,21.47717,606.6436,0.00964593,0.2375966,0.05502335,0.001619385,-1.569251,676,140,109.6591,12,23
3072.994,0,59.28426,7.620185,132.1938,0.111622,102.026,18.76261,496.0495,0.218304,126.7748,17.66627,745.8582,0.01288247,0.2551147,0.05589392,0.00175643,-2.360763,734,140,102.026,9,23
3192.06,0,84.07428,7.539662,148.397,0.594627,103.4001,19.56498,538.726,0.0609,152.8098,18.08394,704.8159,0.01066812,0.2536466,0.05334222,0.001631419,-2.140926,730,140,103.4001,8,23
3216.045,0,84.12362,7.52637,162.268,0.223253,147.614,21.23357,594.7649,0.553518,166.3639,19.97874,881.4216,0.01019043,0.3448502,0.05346154,0.002765794,-2.660682,733,140,147.614,10,23
3281.586,0,97.3471,7.649938,176.782,1.000511,112.7323,22.32567,550.7242,0.295845,140.0715,17.55056,843.769,0.009520208,0.3076588,0.05080666,0.002753676,-2.515792,744,140,112.7323,10,23
3319.142,0,96.63669,7.152901,182.4113,0.659885,149.9631,21.08498,787.1185,0.100233,230.8925,18.18428,1228.292,0.009532652,0.2221037,0.05131372,0.001315219,-0.7444079,574,140,149.9631,9,23
3240.389,0,94.38969,8.248632,181.4596,1.023062,111.1723,20.56306,623.3,0.17864,152.821,19.77852,989.065,0.009729423,0.2949283,0.05496378,0.002411772,-1.473162,700,140,111.1723,8,23
3138.838,0,95.22809,6.668506,175.9351,1.289678,107.7788,21.72572,591.6689,0.181435,180.5549,21.09534,827.6884,0.01000113,0.2501275,0.0562818,0.002497345,-2.389267,703,140,107.7788,11,23
3247.767,0,83.0067,7.978237,156.8125,0.190872,120.74,20.73117,648.9524,0.028717,150.0215,24.22994,796.5105,0.01050529,0.2020913,0.05261002,0.001414119,-2.056938,575,140,120.74,9,23
3204.847,0,98.73745,7.472362,189.7589,1.123379,110.4642,21.88621,535.4792,0.31692,157.2731,18.71703,782.6458,0.009584742,0.4272584,0.05781314,0.002982013,-2.045303,851,140,110.4642,10,23
3141.337,0,88.852,7.960334,146.4115,0.37961,106.6136,19.12328,580.1092,0.234858,124.9299,19.66725,594.8531,0.01023198,0.2686538,0.05643219,0.001927446,-1.16092,673,140,106.6136,11,23
3077.948,0,85.55988,7.622535,134.2794,0.486938,106.1933,19.69255,472.9587,0.099294,155.6095,18.78764,697.163,0.01043007,0.2490701,0.05838199,0.001837132,-0.7319472,703,140,106.1933,10,23
3234.787,0,89.40633,7.450569,160.1882,0.877227,112.4087,19.52074,616.3624,0.09581,170.584,17.9198,917.3475,0.01017804,0.283288,0.05658874,0.002109376,-1.066852,698,140,112.4087,11,23
3371.206,0,95.8615,7.526697,181.9939,1.373162,149.5554,20.03512,766.4848,0.31734,192.2427,21.55661,1166.714,0.009479433,0.2254957,0.05144301,0.001782449,-0.4999439,559,140,149.5554,10,23
3068.496,0,99.79229,6.934675,185.5943,0.585186,112.0448,17.81042,600.8004,0.167085,188.3497,18.51405,850.5959,0.009441217,0.2971821,0.06142862,0.001945832,-0.7820835,782,140,112.0448,9,23
3273.379,0,84.56612,7.60764,163.1671,1.323969,105.9079,22.11722,522.7504,0.132978,185.3557,17.24148,965.5588,0.01057363,0.2424225,0.05124243,0.001383105,-2.61376,697,140,105.9079,10,23
3083.488,0,83.11948,7.623983,139.8594,0.519726,115.3146,21.59726,557.6776,0.020111,151.9201,21.47394,670.9522,0.01035917,0.2490739,0.05692305,0.001398741,-2.1027,743,140,115.3146,9,23
3177.376,0,106.6507,7.950641,169.3333,0.229917,110.3337,22.28278,557.8485,0.029532,190.2885,20.4755,887.1427,0.009217253,0.3568162,0.05462821,0.002463637,-2.757755,728,140,110.3337,9,23
3253.309,0,94.50817,7.702254,166.6693,0.407223,149.8692,20.3299,683.0542,0.11446,214.4481,22.99149,906.0565,0.008804389,0.2592751,0.05486717,0.001963466,-1.472092,734,140,149.8692,10,23
