tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
4257.551,0,128.2655,9.548164,332.0931,0.868842,150,26.11356,1023.322,0.019184,274.1904,21.97442,1777.572,0.007248133,0.1647378,0.04217071,0.001122264,-1.175733,403,140,150,10,23
4236.632,0,128.2655,10.45882,325.5707,0.868842,150,29.36323,1055.571,0.019184,284.9034,18.69595,2502.383,0.007239669,0.2049748,0.04110719,0.0009491826,-0.9524683,360,140,150,11,23
4204.241,0,128.2655,10.00911,314.9391,0.868842,149.9913,27.09738,1033.392,0.018832,249.2281,24.82145,1783.956,0.007242367,0.1647457,0.04253124,0.0008701388,0.3806678,371,140,149.9913,8,23
4227.382,0,128.2655,9.097292,347.2064,0.868843,149.9337,25.3653,1040.17,0.018128,253.4123,21.13265,1929.458,0.007208724,0.2801841,0.04271199,0.001415689,0.02179062,479,140,149.9337,12,23
4253.226,0,128.2655,10.39573,328.888,0.868842,149.9999,30.0433,957.7744,0.019184,284.9033,20.62604,1901.152,0.007198491,0.2066728,0.04259938,0.001239825,-1.890744,502,140,149.9999,13,23
4195.208,0,128.2655,9.568124,332.0629,0.566182,150,27.03964,979.1502,0.019536,282.8536,21.25183,1731.717,0.007249403,0.2306084,0.044381,0.001253898,-0.9870997,400,140,150,12,23
4104.262,0,128.2655,10.03048,316.8168,0.868843,149.9997,26.35727,962.3699,0.019008,227.5771,21.56787,1461.217,0.007220745,0.1646137,0.0440556,0.000984412,-0.5475935,508,140,149.9997,10,23
4195.032,0,128.2655,10.89987,319.4035,0.868842,149.8317,27.03964,939.7887,0.019536,261.2919,20.23753,1882.018,0.007241699,0.2078466,0.04257421,0.001033416,-0.5550508,402,140,149.8317,10,23
4092.963,0,128.2655,8.906862,332.4858,0.852173,149.8943,28.91058,986.2262,0.019008,282.8535,21.223,2023.692,0.007244177,0.2729729,0.04442563,0.001897419,-1.024777,401,140,149.8943,13,23
4232.788,0,128.2655,9.174159,343.8385,0.364598,150,28.82396,990.8537,0.019184,282.8536,21.72763,1717.854,0.007229274,0.271192,0.04315903,0.001648531,-1.438544,396,140,150,12,23
4141.118,0,128.2655,9.174159,340.1592,0.868842,150,29.56074,1010.989,0.01266,185.7225,20.62604,1629.255,0.007249792,0.3063356,0.04269314,0.002154908,-1.41757,399,140,150,14,23
4179.847,0,128.2655,8.733291,347.6603,0.868842,149.9999,30.99014,1133.268,0.019008,284.9033,21.51034,2207.117,0.007240034,0.3181195,0.04264468,0.001536341,-1.0398,406,140,149.9999,16,23
4054.832,0,128.2655,9.039252,312.4852,0.868843,150,30.99014,983.0015,0.019184,284.9032,20.58312,2180.156,0.007242215,0.4387785,0.0434391,0.002149046,-1.296271,406,140,150,12,23
4070.786,0,128.2655,9.494376,321.5819,0.022041,150,27.80054,923.9906,0.005828,282.8536,21.47916,1660.465,0.007248076,0.2110478,0.04311991,0.001336493,-1.390332,396,140,150,12,23
3990.9,0,128.2655,9.25998,320.454,0.868842,150,28.57536,956.5823,0.019184,281.4227,20.94893,1670.228,0.007249798,0.2199264,0.04535851,0.001431755,-1.067396,402,140,150,14,23
4189.302,0,128.2655,10.13074,330.2682,0.868843,150,29.3771,1037.551,0.01936,275.3281,20.68529,1952.923,0.007210218,0.2009353,0.0442268,0.001109238,-1.54352,512,140,150,11,23
4199.493,0,128.2655,9.322247,336.9748,0.389819,149.9829,28.5421,1053.756,0.01936,183.9032,21.1362,1729.768,0.007240354,0.1814395,0.04210932,0.001165931,-1.1052,396,140,149.9829,13,23
4154.619,0,128.2655,9.274273,322.7787,0.868842,149.9983,30.07282,925.6552,0.01936,284.9033,20.73017,1890.463,0.007235971,0.3032684,0.04227084,0.001468519,-1.978528,397,140,149.9983,12,23
4004.623,0,128.2655,8.901675,315.1094,0.476519,149.98,28.03586,1012.886,0.018832,282.8536,23.28259,2021.578,0.007219647,0.3149055,0.04695543,0.001578656,-0.8978078,499,140,149.98,11,23
4136.097,0,128.2655,9.180683,323.4585,0.868842,149.9772,28.52649,1054.057,0.018656,160.0043,23.88263,1413.916,0.007242413,0.1908688,0.04543367,0.001167124,-1.173891,364,140,149.9772,12,23
4212.496,0,128.2655,9.158385,332.5321,0.370002,149.9998,28.17082,1048.946,0.019008,282.8535,24.24959,1677.794,0.007224368,0.1667139,0.04463798,0.00105266,-0.2812792,500,140,149.9998,11,23
4162.867,0,128.2655,9.179516,344.6882,0.182733,150,29.15853,1121.788,0.018832,280.804,20.257,2143.899,0.007345562,0.1900673,0.04418278,0.001193026,-0.640244,364,140,150,13,23
4155.564,0,128.2655,9.039252,343.4367,0.868843,149.9983,27.0721,1134.795,0.019008,222.5306,23.37721,1808.658,0.007353017,0.1733735,0.04566653,0.001059864,-1.082006,367,140,149.9983,14,23
4330.107,0,128.2655,9.118726,359.2569,0.868841,150,27.03964,1172.13,0.018832,263.344,20.5314,1932.27,0.007349371,0.1994058,0.04325543,0.00102992,-0.3907699,364,140,150,10,23
4187.395,0,128.2655,9.273136,334.7663,0.140788,150,30.99014,1123.087,0.019008,247.5624,20.57495,1802.597,0.007302306,0.280885,0.043027,0.001433805,-1.232259,368,140,150,11,23
4271.098,0,128.2655,9.653522,342.3353,0.24593,149.9931,31.31512,1073.11,0.019008,282.8536,23.93353,1851.933,0.00729931,0.1673855,0.04254582,0.00100037,-1.745732,507,140,149.9931,11,23
4122.702,0,128.2655,9.335702,343.2214,0.868842,150,30.9275,1090.823,0.018656,270.5826,21.56787,1992.15,0.007347194,0.197042,0.04450525,0.001120458,-0.62568,493,140,150,13,23
4162.977,0,128.2655,10.31845,324.6531,0.868843,150,29.89064,1050.984,0.01936,244.5954,20.96175,1833.057,0.007267779,0.3799881,0.04399139,0.00230798,-1.25546,369,140,150,9,23
4019.017,0,128.2655,8.994939,319.9343,0.436711,150,29.77558,1029.697,0.01848,282.8534,21.04814,2127.506,0.007349166,0.1646501,0.04526657,0.001106353,-0.741345,360,140,150,14,23
4210.37,0,128.2655,9.174159,338.5013,0.868842,150,27.03433,1136.717,0.019008,284.9033,22.05146,1680.222,0.007348604,0.1647185,0.04250226,0.0007729227,-0.08150798,469,140,150,14,23
4238.561,0,128.2655,9.395171,341.0762,0.868842,150,27.79228,1041.562,0.019184,197.5151,21.72763,1567.116,0.007343352,0.1648206,0.04261128,0.000899768,-0.6287525,362,140,150,8,23
4298.687,0,128.2655,10.42048,338.8946,0.868841,149.9998,30.63026,998.0382,0.018656,284.9034,20.54716,2167.392,0.007338008,0.1648428,0.04133533,0.0008821161,-0.9655649,470,140,149.9998,8,23
4105.119,0,128.2655,9.174575,318.4411,0.068926,149.6718,29.58849,971.7396,0.019184,282.8538,19.2848,2027.493,0.007235645,0.1783172,0.04491088,0.001095553,-1.333593,369,140,149.6718,12,23
4198.839,0,128.2655,9.088038,333.0391,0.868842,149.9894,30.99014,1016.3,0.018832,229.1321,22.74839,1628.342,0.007203452,0.3917362,0.04396219,0.002011993,-1.71256,508,140,149.9894,12,23
4085.158,0,128.2655,9.039251,321.3641,0.868841,149.9996,29.6097,965.8959,0.019008,258.524,20.39382,2041.775,0.007227841,0.2312101,0.04590521,0.001289997,-1.314138,486,140,149.9996,13,23
4154.3,0,128.2655,10.11779,319.5081,0.868841,149.9959,28.14008,967.7863,0.019712,209.3082,21.21354,1615.506,0.007232469,0.192351,0.04413807,0.001049147,-1.464407,371,140,149.9959,13,23
4284.972,0,128.2655,9.654517,335.3494,0.00851,150,28.16628,1018.397,0.019184,282.8539,22.4963,1636.469,0.007243398,0.1647683,0.04230659,0.001026496,-0.6181233,372,140,150,10,23
4093.094,0,128.2655,9.174158,322.9805,0.611696,150,29.81116,961.3379,0.019536,214.4967,22.83077,1579.327,0.007243432,0.2165501,0.04263406,0.001463445,-1.680878,362,140,150,13,23
4108.428,0,128.2655,9.174159,315.9464,0.868842,149.9935,26.71489,991.288,0.018832,284.9034,21.08236,2002.857,0.007248291,0.2023223,0.04497517,0.0009404605,-0.5730784,363,140,149.9935,9,23
4092.818,0,128.2655,9.535773,318.2873,0.017195,149.9906,28.07154,1090.637,0.018832,238.224,22.96028,1659.929,0.007209323,0.1647293,0.04257119,0.001033994,-0.8391424,482,140,149.9906,14,23
4162.054,0,128.2655,9.360142,315.1215,0.868842,150,30.59343,1039.179,0.019184,284.9036,21.45543,2080.288,0.00724232,0.1646512,0.04334256,0.0008130476,-0.8026379,375,140,150,13,23
4181.903,0,128.2655,9.890295,320.8918,0.318483,150,29.46792,957.6014,0.019536,282.8535,20.30422,1959.834,0.007224785,0.1908245,0.04273772,0.001077418,-1.337653,505,140,150,11,23
4219.582,0,128.2655,9.702421,330.7876,0.868842,150,28.1079,934.6603,0.019536,267.5172,21.13609,1907.59,0.007237665,0.1647854,0.04405768,0.0009248258,-0.878145,414,140,150,13,23
4121.442,0,128.2655,9.174159,318.0642,0.868842,149.9995,29.4998,933.7774,0.018832,241.1812,21.56787,1821.721,0.007245379,0.1648384,0.04322106,0.001117081,-1.698366,370,140,149.9995,11,23
4008.568,0,128.2655,9.039252,316.9691,0.483095,149.9974,29.97614,940.6065,0.019008,274.1904,19.13636,2162.09,0.007225547,0.2290273,0.04589689,0.001672451,-1.864354,475,140,149.9974,12,23
4107.924,0,128.2655,9.373667,321.613,0.258812,150,30.36167,922.919,0.019184,282.8538,21.06499,1985.535,0.007223919,0.3143576,0.04314688,0.001935472,-1.28802,476,140,150,11,23
4252.112,0,128.2655,9.173465,346.9751,0.575359,150,28.90558,974.7329,0.01936,282.8536,20.23753,1852.162,0.007200416,0.230624,0.04216504,0.001449397,-1.824002,478,140,150,12,23
4211.127,0,128.2655,9.581526,334.1431,0.532452,149.9863,29.42173,1106.966,0.018832,223.417,26.43158,1629.631,0.007240801,0.224057,0.04408429,0.001378185,-0.8419573,367,140,149.9863,11,23
4244.711,0,128.2655,10.77213,325.3324,0.868842,150,27.60412,1063.602,0.019184,284.9033,20.18719,2065.232,0.007238242,0.2160722,0.04243786,0.001132857,-0.8680035,367,140,150,9,23
