tree_length_delta_time,branch_length_min_delta_time,branch_length_max_delta_time,branch_length_median_delta_time,branch_length_var_delta_time,node_age_min_delta_time,node_age_max_delta_time,node_age_median_delta_time,node_age_var_delta_time,EDR_min_delta_time,EDR_max_delta_time,EDR_median_delta_time,EDR_var_delta_time,InverseES_min_delta_time,InverseES_max_delta_time,InverseES_median_delta_time,InverseES_var_delta_time,gamma_stat_time,Colless_index_time,num_lineages_surviving_time,root_age,n_sampled_anc,n_fossils
4406.972,0,116.0061,10.84209,274.7085,1.373427,144.1406,29.35565,931.3331,0.9965,192.2798,23.14684,1517.499,0.00777697,0.2536081,0.03985634,0.001012348,-1.432943,699,140,144.1406,11,23
4356.413,0,116.0061,10.31935,300.66,1.373426,140.2908,27.44304,966.2996,0.9965,225.9742,23.14684,1553.091,0.007916151,0.1385827,0.04002913,0.0007003206,-0.4336838,589,140,140.2908,11,23
4453.356,0,116.0061,10.51749,274.7374,1.373426,147.997,29.35565,862.7788,0.161982,241.418,20.11682,1768.794,0.007754339,0.1390421,0.03783181,0.0007006598,-1.667074,703,140,147.997,8,23
4381.486,0,116.0061,11.14852,256.4936,1.373427,142.9509,27.44304,861.9631,0.004929,259.2002,21.80733,1782.675,0.007896366,0.1838065,0.03885206,0.0008061789,-0.9490505,589,140,142.9509,8,23
4406.95,0,116.0061,10.12043,331.4871,1.373426,144.7045,26.41778,929.6139,0.447157,221.2784,21.36458,1750.141,0.007877395,0.1415138,0.04021858,0.0007543921,-1.115991,589,140,144.7045,11,23
4446.193,0,116.0061,10.25225,316.9254,1.373426,144.5026,27.34502,955.5564,0.198198,225.9742,22.9006,1608.384,0.007766036,0.1403778,0.03974202,0.0005902958,-0.88046,703,140,144.5026,8,23
4495.626,0,116.0061,10.5157,319.5154,1.373426,142.3966,29.57412,949.0251,0.0258,272.3552,24.54309,1759.969,0.007801032,0.1404047,0.03989712,0.0006676854,-2.023836,589,140,142.3966,8,23
4372.399,0,116.0061,10.14149,305.9225,1.373427,135.6316,29.57412,870.3251,0.053196,225.9742,23.14684,1599.733,0.008043092,0.3000081,0.04055421,0.001233493,-2.414776,677,140,135.6316,10,23
4502.692,0,116.0061,10.51749,286.2369,1.373426,147.6959,29.52733,847.5396,0.452217,225.9742,25.73421,1435.957,0.007771254,0.256477,0.03854096,0.0009894325,-1.763307,677,140,147.6959,7,23
4298.876,0,116.0061,10.09375,263.9097,1.373428,138.3635,29.52733,873.4829,0.011844,245.4033,21.18104,1802.628,0.007937593,0.14106,0.04026734,0.0006785472,-1.813967,700,140,138.3635,10,23
4370.372,0,116.0061,10.39579,288.7528,1.334416,142.8917,29.52733,928.7159,0.43956,224.3485,21.92136,1797.086,0.00804626,0.1609991,0.04059808,0.0007485156,-1.909024,700,140,142.8917,8,23
4397.283,0,116.0061,10.51749,296.4958,1.373427,140.446,29.35565,942.0889,0.25922,225.9742,23.61224,1584.695,0.008006787,0.1370581,0.03919046,0.0006374301,-0.7931963,699,140,140.446,11,23
