tree_length,branch_length_min,branch_length_max,branch_length_median,branch_length_var,node_age_min,node_age_max,node_age_median,node_age_var,EDR_min,EDR_max,EDR_median,EDR_var,InverseES_min,InverseES_max,InverseES_median,InverseES_var,gamma_stat,Colless_index,num_lineages_surviving,root_age,n_sampled_anc,n_fossils
4406.972,0,116.0061,10.84209,274.7085,1.373427,144.1406,29.35565,931.3331,0.9965,192.2798,23.14684,1517.499,0.00777697,0.2536081,0.03985634,0.001012348,-1.432943,699,140,144.1406,11,23
4356.413,0,116.0061,10.31935,300.66,1.373426,140.2908,27.44304,966.2996,0.9965,225.9742,23.14684,1553.091,0.007916151,0.1385827,0.04002913,0.000700321,-0.4336838,589,140,140.2908,11,23
4453.356,0,116.0061,10.51749,274.7374,1.373426,147.997,29.35565,862.7788,0.161982,241.418,20.11682,1768.794,0.007754339,0.1390421,0.03783181,0.00070066,-1.667074,703,140,147.997,8,23
4381.486,0,116.0061,11.14852,256.4936,1.373427,142.9509,27.44304,861.9631,0.004929,259.2002,21.80733,1782.675,0.007896366,0.1838065,0.03885206,0.000806179,-0.9490505,589,140,142.9509,8,23
4406.95,0,116.0061,10.12043,331.4871,1.373426,144.7045,26.41778,929.6139,0.447157,221.2784,21.36458,1750.141,0.007877395,0.1415138,0.04021858,0.000754392,-1.115991,589,140,144.7045,11,23
4446.193,0,116.0061,10.25225,316.9254,1.373426,144.5026,27.34502,955.5564,0.198198,225.9742,22.9006,1608.384,0.007766036,0.1403778,0.03974202,0.000590296,-0.88046,703,140,144.5026,8,23
4495.626,0,116.0061,10.5157,319.5154,1.373426,142.3966,29.57412,949.0251,0.0258,272.3552,24.54309,1759.969,0.007801032,0.1404047,0.03989712,0.000667685,-2.023836,589,140,142.3966,8,23
4372.399,0,116.0061,10.14149,305.9225,1.373427,135.6316,29.57412,870.3251,0.053196,225.9742,23.14684,1599.733,0.008043092,0.3000081,0.04055421,0.001233493,-2.414776,677,140,135.6316,10,23
4502.692,0,116.0061,10.51749,286.2369,1.373426,147.6959,29.52733,847.5396,0.452217,225.9742,25.73421,1435.957,0.007771254,0.256477,0.03854096,0.000989433,-1.763307,677,140,147.6959,7,23
4298.876,0,116.0061,10.09375,263.9097,1.373428,138.3635,29.52733,873.4829,0.011844,245.4033,21.18104,1802.628,0.007937593,0.14106,0.04026734,0.000678547,-1.813967,700,140,138.3635,10,23
4370.372,0,116.0061,10.39579,288.7528,1.334416,142.8917,29.52733,928.7159,0.43956,224.3485,21.92136,1797.086,0.00804626,0.1609991,0.04059808,0.000748516,-1.909024,700,140,142.8917,8,23
4397.283,0,116.0061,10.51749,296.4958,1.373427,140.446,29.35565,942.0889,0.25922,225.9742,23.61224,1584.695,0.008006787,0.1370581,0.03919046,0.00063743,-0.7931963,699,140,140.446,11,23
4504.837,0,116.0061,10.51749,310.5471,1.373427,135.4525,27.44304,936.661,0.244605,225.9742,22.56611,1672.785,0.00804889,0.1527324,0.03912535,0.000795967,-1.405808,699,140,135.4525,8,23
4269.472,0,116.0061,10.04768,277.0407,1.373427,138.6807,29.35565,865.5003,0.075054,225.9742,22.04838,1651.55,0.007903606,0.1403141,0.04023272,0.000679297,-1.337548,699,140,138.6807,12,23
4435.661,0,116.0061,10.28559,308.5637,1.373427,142.1981,27.44304,943.6256,0.177334,267.693,22.8537,1864.501,0.007747136,0.2013141,0.03915511,0.001072928,-1.1453,676,140,142.1981,10,23
4323.403,0,116.0061,10.49721,289.7278,1.373428,143.7281,27.56342,894.7699,0.419672,225.9742,22.72121,1685.311,0.007798507,0.1451082,0.03905674,0.000747528,-1.848169,675,140,143.7281,11,23
4287.366,0,116.0061,10.51749,260.5923,1.373427,143.7466,29.04145,925.1758,0.48146,225.9744,24.75736,1467.278,0.007739465,0.1404728,0.04034324,0.000619014,-1.048243,699,140,143.7466,12,23
4447.158,0,116.0061,10.54721,290.1082,1.373428,145.3183,29.35565,969.0274,0.159397,209.6886,24.04911,1599.588,0.008115154,0.1539807,0.03984768,0.00079732,-1.076926,699,140,145.3183,10,23
4391.983,0,116.0061,10.51765,279.7795,1.373427,137.4072,29.52733,1020.971,0.56342,225.9744,26.51583,1784.269,0.007914975,0.1456761,0.03979108,0.00075285,-1.628606,699,140,137.4072,9,23
4342.841,0,116.0061,10.49721,271.0975,1.373426,143.2949,29.52733,1071.85,0.255944,225.9744,24.11719,1795.88,0.007749883,0.2123185,0.03846305,0.000873966,-1.313972,704,140,143.2949,12,23
4416.21,0,116.0061,10.77797,284.7413,1.373427,142.0926,29.52733,1103.337,0.9965,225.9742,25.14509,1676.155,0.007776352,0.1933709,0.03831084,0.000762789,-0.7070784,681,140,142.0926,9,23
4432.102,0,116.0061,10.80687,290.8785,0.781251,144.8222,29.52733,1143.139,0.65151,306.0976,23.63218,1959.449,0.007699973,0.1958087,0.03794502,0.00075236,-0.3035048,698,140,144.8222,9,23
4405.699,0,116.0061,10.62585,307.0082,1.373427,148.1603,29.35565,1196.909,0.16224,433.6021,24.62759,2642.083,0.007712057,0.1405989,0.03975939,0.000725271,-0.9724595,587,140,148.1603,10,23
